functions                                         uri                                                                                                       times
_drawFrame                                        lib/ui/hooks.dart:281:1                                                                                   62
PlatformDispatcher._drawFrame                     lib/ui/platform_dispatcher.dart:418:3                                                                     62
_invoke                                           lib/ui/hooks.dart:314:10                                                                                  62
SchedulerBinding._handleDrawFrame                 /Users/fenglang/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1153:3                        62
SchedulerBinding._handleDrawFrame                 /Users/fenglang/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1153:3                        62
new _GrowableList.of                              third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:144:28                                      62
new _GrowableList.of                              third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:144:28                                      62
new _GrowableList.of                              third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:144:28                                      62
SchedulerBinding._invokeFrameCallback             /Users/fenglang/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1398:18                       62
RendererBinding._handlePersistentFrameCallback    /Users/fenglang/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:442:3                         62
RendererBinding._handlePersistentFrameCallback    /Users/fenglang/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:444:5                         62
WidgetsBinding.drawFrame                          /Users/fenglang/dev/flutter/packages/flutter/lib/src/widgets/binding.dart:1138:13                         62
List.iterator                                     third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:506:16                                      62
List.iterator                                     third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:506:16                                      62
StatefulElement.performRebuild                    /Users/fenglang/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5644:3                        62
Element.widget                                    /Users/fenglang/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:0:0                           62
Element.widget                                    /Users/fenglang/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:0:0                           62
StatefulElement.build                             /Users/fenglang/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5598:3                        62
_BuildPhaseJankWidgetState.build                  /Users/fenglang/codes/aw/glance_plugin/example/glance_integration_test/build_phase_jank_test.dart:24:3    62
jsonEncode                                        third_party/dart/sdk/lib/convert/json.dart:114:10                                                         57
jsonEncode                                        third_party/dart/sdk/lib/convert/json.dart:114:10                                                         57
_LinkedHashMapMixin._set                          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:527:7                                  1
??                                                ??:0:0                                                                                                    63

Checking stack
